,Full Name,Title,Department
0,"Abraham, Caroline E",Visiting Assistant Professor,Economics
1,"Adrian Jr., James C",Professor,Chemistry
2,"Ahmed, Saladdin",Visiting Assistant Professor,Political Science
3,"Amanuel, Samuel",Associate Professor,Physics and Astronomy
4,"Anderson, Ann M",Agnes S. MacDonald Professor of Mechanical Engineering/Director of Energy Studies,Mechanical Engineering
5,"Anderson, Matthew W",Assistant Professor,Computer Science
6,"Anderson-Hanley, Cay M",Professor,Psychology
7,"Aslakson, Kenneth R",Associate Professor/Director of American Studies,History
8,"Barber, Suzanne M",Visiting Assistant Professor,Anthropology
9,"Batson, Charles R",Florence B. Sherwood Professor of History and Culture,Modern Languages
10,"Bedford, Peter R",John & Jane Wold Professor of Religious Studies/Director of Religious Studies & Jewish Studies,Religious Studies
11,"Benjamin, Martin",William D. Williams Professor of Visual Arts,Visual Arts -Studio
12,"Bergamaschi Ganapini, Marianna",Assistant Professor,Philosophy
13,"Berk, Stephen M",Henry & Sally Schaffer Professor of Holocaust & Jewish Studies,History
14,"Bidoshi, Kristin A",Associate Professor of Russian/Director of Russian and East European Studies,Modern Languages
15,"Bizer, George Y",Professor/Chair,Psychology
16,"Bouhet, Elise R",Visiting Assistant Professor,Modern Languages
17,"Bracken, Claire M",Associate Professor,English
18,"Brison, Karen",Roger Thayer Stone Professor of Anthropology,Anthropology
19,"Brown Jr., Clifford W",Robert Porter Patterson Professor of Government,Political Science
20,"Bruno, Bradford A",Professor,Mechanical Engineering
21,"Bucinell, Ronald B",Associate Professor,Mechanical Engineering
22,"Buma, Takashi",Associate Professor of Electrical & Computer Engineering,"Electrical, Computer & Biomedical Engineering"
23,"Burkett, Andrew",Associate Professor,English
24,"Burns, Daniel J",Gilbert R. Livingston Professor,Psychology
25,"Carroll, Mary K",Dwane W. Crichton Professor,Chemistry
26,"Cass, Aaron G",Associate Professor,Computer Science
27,"Catalano, Louisa G",Visiting Assistant Professor,Mathematics
28,"Cervone, Davide P",Professor,Mathematics
29,"Chandler, Christopher E",Assistant Professor,Music
30,"Cheng, Dong",Assistant Professor,Economics
31,"Chilcoat, A. Michelle",Associate Professor in French/Co-Director of Film Studies,Modern Languages
32,"Chu-LaGraff, Quynh",Professor/Director of Neuroscience,Biology
